titulo,tipo,endereco,abertoate,telefone
BRANDALISE Engenharia & Projetos,,,  · , (47) 99606-9743 · 
Pós-Graduação em Engenharia de Produção,Consultoria em engenharia,, Abre às 14:00 · , (47) 3221-6068 · 
PRECAV Engenharia,Engenheiro,,  · , (47) 3212-6489 · 
Habitark Engenharia,Consultoria em engenharia,,  · , (47) 3323-9030 · 
Base Engenharia,Construtora,, Aberto até às 18:00 · , (47) 3209-4212 · 
VDM Engenharia e Arquitetura,,,  · , (47) 3323-4375 · 
Tr Sul Engenharia,,,  · , (47) 3035-1094 · 
SC Laudos de Engenharia,Civil engineering company,, Aberto até às 18:00 · , (47) 99978-3067 · 
GNT Engenharia,Consultoria em engenharia,, Aberto até às 17:30 · , (47) 3323-0806 · 
Biz Engenharia,Consultoria em engenharia,, Aberto até às 18:00 · , (47) 3209-5981 · 
Solvit Engenharia,Consultoria em engenharia,,  · , (47) 3037-6290 · 
L2Q Engenharia,Engenheiro,, Aberto até às 18:00 · , (47) 99997-3680 · 
"GRUPO FRONZA | Soluções em Engenharia",Consultoria em engenharia,, Aberto até às 17:00 · , (47) 3234-5364 · 
Engenharia Metálica,Engenheiro,,  · , (47) 99103-2700 · 
CARPAG Engenharia,Arquiteto,, Aberto até às 18:00 · , (47) 98895-6446 · 
Bega Engenharia,,, Aberto até às 17:00 · , (67) 99214-9066 · 
Tarouco - Engenharia Ltda.,Engenheiro,,  · , (47) 3488-5574 · 
CPV Engenharia,,, Aberto até às 12:00 · , (47) 3288-3064 · 
Blusafe Engenharia Ltda.,Saúde e segurança ocupacional,, Aberto até às 18:00 · , (47) 3042-3232 · 
BBL ENGENHARIA - ARQUITETURA - AGRIMENSURA - AMBIENTAL,Empresa de Topografia e Agrimensura,, Aberto até às 18:00 · , (47) 3053-2803 · 
