titulo,tipo,endereco,abertoate,telefone
Auto Mecânica JR,Oficina mecânica,, Aberto até às 12:00 · , (47) 3326-4264 · 
Mecânica União,Oficina mecânica,, Aberto até às 12:00 · , (47) 3323-1493 · 
Mecânica Adam,Oficina mecânica,, Aberto até às 12:00 · , (47) 3323-6312 · 
MECANAUTO Oficina Mecânica,Oficina mecânica,, Aberto até às 18:30 · , (47) 98406-8066 · 
oficina mecanica,Oficina mecânica,, Aberto até às 18:00 · , (47) 3324-0329 · 
Auto Mecânica e Elétrica JC,Oficina mecânica,, Aberto até às 12:00 · , (47) 3323-3421 · 
Hoepers Auto Mecânica Multimarcas Ltda ME,Oficina mecânica,, Fecha às 11:45 · , (47) 3035-3818 · 
Auto Mecânica Alternativa 5,Oficina mecânica,, Aberto até às 18:00 · , (47) 3035-5812 · 
AUTO MECANICA PLANETA,Oficina mecânica,, Aberto até às 12:00 · , (47) 99911-9447 · 
Jean - Mecânica Automotiva,Mecânica para carros,, Aberto até às 12:00 · , (47) 3322-0600 · 
Auto Mecânica D.P.T,Serviços de usinagem automotiva,, Aberto até às 18:00 · , (47) 3323-4696 · 
Mundial Auto Center,Mecânico,, Aberto até às 12:00 · , (47) 3041-7180 · 
Tornearia Mecânica Jensen,Mecânica para carros,, Aberto até às 17:00 · , (47) 3322-1392 · 
ESS Car Service,Oficina mecânica,, Aberto até às 18:00 · , (47) 3042-0642 · 
Motos Neno - Blumenau,Oficina mecânica de motos,, Aberto até às 12:00 · , (47) 3322-3825 · 
Bosch Car Service - Vera Cruz Auto Peças,Oficina mecânica,, Aberto até às 12:00 · , (47) 3323-1922 · 
Blu Caps - Centro Automotivo,Oficina mecânica,, Aberto até às 18:00 · , (47) 3037-5953 · 
TSK Multimarcas Oficina Mecânica,Mecânica para carros,, Aberto até às 12:00 · , (47) 3326-0646 · 
CK Oficina Multimarcas,Oficina mecânica,, Aberto até às 12:00 · , (47) 3334-3848 · 
Euro Car,Mecânica para carros,, Aberto até às 12:00 · , (47) 3323-9010 · 
